,gid,domain,pairtype,ev_diff,L_id,L_x1,L_x2,L_x3,L_p1,L_p2,L_p3,L_ev,L_ev_var,H_id,H_x1,H_x2,H_x3,H_p1,H_p2,H_p3,H_ev,H_ev_var,prop_H_all,prop_H_all_old,prop_H_all_yng,prop_H_g1,prop_H_g1_old,prop_H_g1_yng,prop_H_g2,prop_H_g2_old,prop_H_g2_yng,ss_all,ss_all_old,ss_all_yng,ss_med_all,ss_med_old,ss_med_yng,ss_g1,ss_g1_old,ss_g1_yng,ss_g2,ss_g2_old,ss_g2_yng,sf_all,sf_all_old,sf_all_yng,sf_g1,sf_g1_old,sf_g1_yng,sf_g2,sf_g2_old,sf_g2_yng
78,S16G1,gain,HH-LL,0.709473684211,45.0,3.0,13.0,18.0,0.8,0.168421052632,0.031578947368,5.15789473684,18.882704597,41.0,1.0,23.0,18.0,0.74,0.08947368421,0.170526315789,5.86736842105,67.3562152134,0.507246376812,0.542857142857,0.470588235294,0.625,0.777777777778,0.428571428571,0.471698113208,0.461538461538,0.481481481481,31.2428571429,29.5714285714,32.9142857143,22.5,17.0,24.0,17.4375,14.2222222222,21.5714285714,35.3333333333,34.8846153846,35.75,0.282961351015,0.351424932361,0.214497769669,0.901785714286,1.0,0.775510204082,0.099605984119,0.126918178178,0.074244661065
24,S13G1,gain,HH-LL,0.815789473684,40.0,5.0,1.0,18.0,0.8,0.147368421053,0.052631578947,5.09473684211,10.8998144712,27.0,2.0,24.0,0.0,0.65,0.192105263158,0.157894736842,5.91052631579,79.5859457185,0.347826086957,0.323529411765,0.371428571429,0.5625,0.555555555556,0.571428571429,0.283018867925,0.24,0.321428571429,27.1571428571,22.4571428571,31.8571428571,19.0,17.0,21.0,16.4375,11.1111111111,23.2857142857,30.3333333333,26.3846153846,34.0,0.275323210123,0.335928770467,0.214717649779,0.913834617501,1.0,0.803050554289,0.086134644974,0.106057960244,0.067634423652
72,S1G1,gain,HH-LL,0.832105263158,30.0,4.0,12.0,0.0,0.5,0.263157894737,0.236842105263,5.15789473684,19.3477633478,23.0,1.0,0.0,18.0,0.41,0.28,0.31,5.99,64.8091115234,0.391304347826,0.441176470588,0.342857142857,0.333333333333,0.375,0.285714285714,0.407407407407,0.461538461538,0.357142857143,24.8285714286,23.1428571429,26.5142857143,20.0,21.0,20.0,14.8125,14.7777777778,14.8571428571,27.7962962963,26.0384615385,29.4285714286,0.344242237514,0.388596386205,0.299888088822,0.890910326087,0.862222222222,0.927795031056,0.182266507566,0.22464898143,0.142911353264
14,S19G1,gain,HH-LL,0.837894736842,31.0,5.0,13.0,0.0,0.74,0.111578947368,0.148421052632,5.15052631579,10.7217068646,23.0,0.0,1.0,18.0,0.38,0.304210526316,0.315789473684,5.98842105263,67.159554731,0.318181818182,0.363636363636,0.272727272727,0.25,0.333333333333,0.142857142857,0.34,0.375,0.307692307692,26.0857142857,23.1142857143,29.0571428571,18.0,18.0,18.0,12.8125,12.4444444444,13.2857142857,30.0185185185,26.8076923077,33.0,0.270172141087,0.304213989881,0.23713152314,0.838213410364,0.888888888889,0.773059223689,0.091963115431,0.084960902753,0.098187304478
32,S7G1,gain,HH-LL,0.843684210526,38.0,9.0,12.0,0.0,0.23,0.258421052632,0.511578947368,5.17105263158,29.2504638219,27.0,2.0,24.0,0.0,0.62,0.198947368421,0.181052631579,6.01473684211,79.530818388,0.457142857143,0.514285714286,0.4,0.4375,0.555555555556,0.285714285714,0.462962962963,0.5,0.428571428571,29.9,27.5714285714,32.2285714286,23.0,25.0,22.0,14.875,15.6666666667,13.8571428571,34.3518518519,31.6923076923,36.8214285714,0.269765209284,0.304608611814,0.234921806755,0.916788419913,0.957407407407,0.864564007421,0.078054628357,0.078639797955,0.077511256587
28,S17G1,gain,HH-LL,0.874736842105,25.0,2.0,12.0,0.0,0.38,0.362105263158,0.257894736842,5.10526315789,27.8499278499,34.0,6.0,23.0,0.0,0.23,0.2,0.57,5.98,79.1107070707,0.463768115942,0.485714285714,0.441176470588,0.5,0.666666666667,0.285714285714,0.452830188679,0.423076923077,0.481481481481,27.0428571429,24.6571428571,29.4285714286,19.5,18.0,22.0,14.8125,11.0,19.7142857143,30.6666666667,29.3846153846,31.8571428571,0.285529652915,0.309131084429,0.2619282214,0.866287878788,0.888888888889,0.837229437229,0.113453141545,0.108445690578,0.118102917443
49,S2G1,gain,HH-LL,0.902105263158,31.0,5.0,13.0,0.0,0.41,0.23,0.36,5.04,23.957979798,26.0,2.0,0.0,18.0,0.29,0.412105263158,0.297894736842,5.94210526316,62.3879612451,0.478260869565,0.382352941176,0.571428571429,0.375,0.333333333333,0.428571428571,0.509433962264,0.4,0.607142857143,32.3428571429,30.0285714286,34.6571428571,24.0,18.0,26.0,17.0625,15.2222222222,19.4285714286,36.8703703704,35.1538461538,38.4642857143,0.307896866717,0.332318395191,0.2841730962,0.862761809269,0.831481481481,0.902979373568,0.140390468966,0.152619684126,0.129471526858
6,S20G1,gain,HH-LL,0.907894736842,31.0,5.0,13.0,0.0,0.71,0.113157894737,0.176842105263,5.02105263158,11.5194805195,29.0,3.0,24.0,0.0,0.65,0.165789473684,0.184210526316,5.92894736842,66.0467073427,0.492063492063,0.516129032258,0.46875,0.466666666667,0.5,0.428571428571,0.5,0.521739130435,0.48,24.9428571429,19.2857142857,30.6,19.0,14.0,20.0,19.1875,11.7777777778,28.7142857143,26.6481481481,21.8846153846,31.0714285714,0.298534632507,0.339443712298,0.260104890885,0.902324973877,1.0,0.790696372593,0.113700854537,0.109685003532,0.117253338118
33,S15G1,gain,HH-LL,0.921578947368,30.0,4.0,12.0,0.0,0.56,0.223157894737,0.216842105263,4.91789473684,16.9235209235,23.0,0.0,1.0,18.0,0.35,0.344736842105,0.305263157895,5.83947368421,65.5710162853,0.328571428571,0.4,0.257142857143,0.4375,0.444444444444,0.428571428571,0.296296296296,0.384615384615,0.214285714286,26.1857142857,23.2571428571,29.1142857143,18.5,20.0,17.0,12.8125,12.2222222222,13.5714285714,30.1481481481,27.0769230769,33.0,0.273253960785,0.299574969664,0.246932951906,0.844791666667,0.888888888889,0.788095238095,0.103909455338,0.095581689932,0.111642380358
76,S10G1,gain,HH-LL,0.925789473684,28.0,3.0,13.0,0.0,0.53,0.266315789474,0.203684210526,5.05210526316,24.2444856731,41.0,1.0,23.0,18.0,0.74,0.111578947368,0.148421052632,5.97789473684,71.8645640074,0.457142857143,0.342857142857,0.571428571429,0.5625,0.555555555556,0.571428571429,0.425925925926,0.269230769231,0.571428571429,32.0857142857,27.3714285714,36.8,20.5,20.0,23.0,20.0625,12.6666666667,29.5714285714,35.6481481481,32.4615384615,38.6071428571,0.231751984078,0.252467521435,0.211036446721,0.78194047619,0.777777777778,0.787292517007,0.0687331716,0.070629355778,0.06697242915
